months,ICO Composite Indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
01/1990,1.385209713,1.811699779,1.678145695,1.553200883,1.09205298
02/1990,1.479249448,2.020971302,1.853200883,1.712803532,1.105077263
03/1990,1.661147903,2.279028698,2.091169978,1.902207506,1.230905077
04/1990,1.663134658,2.247019868,2.090728477,1.930463576,1.235099338
05/1990,1.618101545,2.188520971,2.052317881,1.905298013,1.183664459
06/1990,1.543267108,2.119426049,1.96799117,1.830905077,1.118543046
07/1990,1.509050773,2.040838852,1.912803532,1.742604857,1.105298013
08/1990,1.635761589,2.280353201,2.084547461,1.992273731,1.187196468
09/1990,1.667770419,2.256291391,2.105739514,2.035320088,1.229580574
10/1990,1.631125828,2.145695364,2.021633554,1.893598234,1.240838852
11/1990,1.547461369,2.039293598,1.870198675,1.709933775,1.224724062
12/1990,1.607726269,2.142604857,1.968653422,1.769757174,1.246357616
01/1991,1.531567329,2.020971302,1.896909492,1.668653422,1.166225166
02/1991,1.557395143,2.079690949,1.969315673,1.752538631,1.145033113
03/1991,1.599779249,2.193377483,2.065342163,1.850551876,1.133995585
04/1991,1.577262693,2.147240618,2.030022075,1.800883002,1.124282561
05/1991,1.489403974,2.0200883,1.93995585,1.66799117,1.038852097
06/1991,1.447682119,1.990728477,1.893598234,1.599116998,1.001766004
07/1991,1.419646799,1.943046358,1.837527594,1.528476821,1.001766004
08/1991,1.398233996,1.944591611,1.805077263,1.504415011,0.9911699779
09/1991,1.47593819,2.029801325,1.921854305,1.657395143,1.030022075
10/1991,1.386975717,1.829580574,1.760927152,1.454966887,1.012803532
11/1991,1.419426049,1.819646799,1.726269316,1.457615894,1.112582781
12/1991,1.392273731,1.759381898,1.663355408,1.371743929,1.121192053
01/1992,1.349227373,1.730684327,1.620529801,1.369315673,1.077924945
02/1992,1.225386313,1.58388521,1.511037528,1.281456954,0.9397350993
03/1992,1.246799117,1.626269316,1.553421634,1.315673289,0.9401766004
04/1992,1.18410596,1.535320088,1.455187638,1.212803532,0.9130242826
05/1992,1.087637969,1.433333333,1.343487859,1.128256071,0.8317880795
06/1992,1.062472406,1.415011038,1.304415011,1.083443709,0.8205298013
07/1992,1.075055188,1.379690949,1.284768212,1.071302428,0.8651214128
08/1992,1.013024283,1.247019868,1.168432671,1.024282561,0.857615894
09/1992,1.03995585,1.2401766,1.175055188,1.091169978,0.9046357616
10/1992,1.167328918,1.429801325,1.359161148,1.316556291,0.9754966887
11/1992,1.269094923,1.583222958,1.485871965,1.426931567,1.052317881
12/1992,1.412803532,1.799558499,1.70397351,1.642163355,1.121633554
01/1993,1.283443709,1.580794702,1.531788079,1.481898455,1.035320088
02/1993,1.265342163,1.599337748,1.493377483,1.464459161,1.037306843
03/1993,1.208830022,1.480573951,1.404415011,1.381898455,1.013245033
04/1993,1.134216336,1.319426049,1.277483444,1.212362031,0.9907284768
05/1993,1.19602649,1.486754967,1.372626932,1.26401766,1.019205298
06/1993,1.20397351,1.50397351,1.379690949,1.229580574,1.02803532
07/1993,1.337969095,1.686534216,1.585209713,1.451655629,1.090507726
08/1993,1.494260486,1.858278146,1.698013245,1.616997792,1.290507726
09/1993,1.581456954,1.911258278,1.783002208,1.668432671,1.379690949
10/1993,1.496247241,1.832671082,1.69183223,1.581677704,1.300662252
11/1993,1.545916115,1.888741722,1.735099338,1.637969095,1.356732892
12/1993,1.578366446,1.92781457,1.792273731,1.644812362,1.364459161
01/1994,1.526931567,1.895143488,1.742825607,1.576600442,1.311037528
02/1994,1.597571744,2.053863135,1.852759382,1.769094923,1.342163355
03/1994,1.68013245,2.058057395,1.921854305,1.870198675,1.438410596
04/1994,1.792273731,2.152980132,1.999337748,1.923620309,1.585430464
05/1994,2.393377483,2.95584989,2.690507726,2.613024283,2.09602649
06/1994,2.823620309,3.35209713,3.166225166,3.011699779,2.480794702
07/1994,4.226048565,4.917218543,4.83200883,4.675717439,3.620309051
08/1994,4.007284768,4.649227373,4.424724062,4.246799117,3.589624724
09/1994,4.467770419,5.110816777,4.900662252,4.69602649,4.034878587
10/1994,4.098013245,4.549006623,4.45584989,4.220971302,3.7401766
11/1994,3.711258278,4.127152318,4.037748344,3.815231788,3.384768212
12/1994,3.292273731,3.839735099,3.720529801,3.526048565,2.863796909
01/1995,3.357174393,3.912362031,3.810596026,3.594039735,2.903752759
02/1995,3.360706402,3.864679912,3.74812362,3.555629139,2.973289183
03/1995,3.592273731,4.100441501,3.960927152,3.785430464,3.223620309
04/1995,3.522958057,3.98013245,3.849889625,3.676379691,3.19602649
05/1995,3.442825607,3.911258278,3.775055188,3.569977925,3.110375276
06/1995,3.127152318,3.772406181,3.410375276,3.205739514,2.843708609
07/1995,2.929580574,3.470640177,3.215452539,3.083443709,2.643708609
08/1995,3.12803532,3.602869757,3.382119205,3.301103753,2.873730684
09/1995,2.754083885,3.123399558,2.968211921,2.875496689,2.539735099
10/1995,2.649448124,2.915673289,2.809492274,2.808609272,2.489183223
11/1995,2.604635762,2.849668874,2.764900662,2.766666667,2.444370861
12/1995,2.198013245,2.438631347,2.345253863,2.438410596,2.050551876
01/1996,2.214790287,2.628697572,2.442604857,2.815452539,1.986534216
02/1996,2.439293598,2.978807947,2.739293598,3.1799117,2.138852097
03/1996,2.337527594,2.883002208,2.667549669,3.112362031,2.007505519
04/1996,2.36401766,2.964900662,2.726269316,2.934216336,2.001545254
05/1996,2.433554084,3.147019868,2.853642384,2.974834437,2.013245033
06/1996,2.335320088,2.941501104,2.769536424,2.769094923,1.900883002
07/1996,2.206843267,2.988741722,2.703532009,2.360485651,1.709933775
08/1996,2.267770419,3.039293598,2.786313466,2.390286976,1.748785872
09/1996,2.130684327,2.721854305,2.620309051,2.27593819,1.641059603
10/1996,2.175717439,2.820529801,2.741721854,2.334878587,1.609713024
11/1996,2.144370861,2.856732892,2.738852097,2.290507726,1.549668874
12/1996,1.987637969,2.790507726,2.583222958,2.289403974,1.39205298
01/1997,2.20816777,3.226931567,2.932891832,2.809713024,1.483222958
02/1997,2.690728477,4.163796909,3.716777042,3.536644592,1.664459161
03/1997,3.034657837,4.701103753,4.298013245,3.96799117,1.771081678
04/1997,3.139072848,4.397792494,4.569315673,4.05584989,1.708388521
05/1997,3.983222958,7.030905077,5.9,4.627373068,2.066225166
06/1997,3.430022075,5.014348786,4.901103753,4.066445916,1.958940397
07/1997,2.981015453,4.206843267,4.203311258,3.499337748,1.758278146
08/1997,2.92781457,4.270640177,4.21192053,3.493377483,1.643487859
